provider_reference,negotiated_rate,billing_code,billing_code_type,negotiation_arrangement,negotiated_type,billing_class
1978,1026.940000,0002M,CPT,ffs,negotiated,professional
23299,302.040000,0002M,CPT,ffs,negotiated,professional
57591,226.530000,0002M,CPT,ffs,negotiated,professional
18737,211.430000,0002M,CPT,ffs,negotiated,professional
5808,317.140000,0002M,CPT,ffs,negotiated,professional
56910,302.040000,0002M,CPT,ffs,negotiated,professional
50258,604.080000,0002M,CPT,ffs,negotiated,institutional
21786,302.040000,0002M,CPT,ffs,negotiated,professional
14093,211.430000,0002M,CPT,ffs,negotiated,professional
29981,211.430000,0002M,CPT,ffs,negotiated,professional
31476,211.430000,0002M,CPT,ffs,negotiated,professional
28431,211.430000,0002M,CPT,ffs,negotiated,professional
38220,211.430000,0002M,CPT,ffs,negotiated,professional
52432,416.370000,0002M,CPT,ffs,negotiated,professional
26632,251.700000,0002M,CPT,ffs,negotiated,professional
45989,211.430000,0002M,CPT,ffs,negotiated,professional
43022,211.430000,0002M,CPT,ffs,negotiated,professional
54678,211.430000,0002M,CPT,ffs,negotiated,professional
55452,302.040000,0002M,CPT,ffs,negotiated,professional
9790,211.430000,0002M,CPT,ffs,negotiated,professional
26441,226.530000,0002M,CPT,ffs,negotiated,professional
58796,302.040000,0002M,CPT,ffs,negotiated,professional
61147,211.430000,0002M,CPT,ffs,negotiated,professional
41655,211.430000,0002M,CPT,ffs,negotiated,professional
52079,211.430000,0002M,CPT,ffs,negotiated,professional
8152,211.430000,0002M,CPT,ffs,negotiated,professional
49688,240.330000,0002M,CPT,ffs,negotiated,professional
25373,211.430000,0002M,CPT,ffs,negotiated,professional
35001,211.430000,0002M,CPT,ffs,negotiated,professional
47,211.430000,0002M,CPT,ffs,negotiated,professional
32048,211.430000,0002M,CPT,ffs,negotiated,professional
6506,302.040000,0002M,CPT,ffs,negotiated,professional
41023,211.430000,0002M,CPT,ffs,negotiated,professional
41227,251.700000,0002M,CPT,ffs,negotiated,professional
3561,211.430000,0002M,CPT,ffs,negotiated,professional
46842,503.400000,0002M,CPT,ffs,negotiated,professional
2224,211.430000,0002M,CPT,ffs,negotiated,professional
20041,211.430000,0002M,CPT,ffs,negotiated,professional
43061,211.430000,0002M,CPT,ffs,negotiated,professional
7481,211.430000,0002M,CPT,ffs,negotiated,professional
36464,302.040000,0002M,CPT,ffs,negotiated,professional
29368,211.430000,0002M,CPT,ffs,negotiated,professional
11101,211.430000,0002M,CPT,ffs,negotiated,professional
42206,211.430000,0002M,CPT,ffs,negotiated,professional
20285,503.400000,0002M,CPT,ffs,negotiated,professional
5074,211.430000,0002M,CPT,ffs,negotiated,professional
11005,211.430000,0002M,CPT,ffs,negotiated,professional
55099,211.430000,0002M,CPT,ffs,negotiated,professional
58031,302.040000,0002M,CPT,ffs,negotiated,professional
8339,211.430000,0002M,CPT,ffs,negotiated,professional
11375,211.430000,0002M,CPT,ffs,negotiated,professional
16573,211.430000,0002M,CPT,ffs,negotiated,professional
6240,211.430000,0002M,CPT,ffs,negotiated,professional
59512,211.430000,0002M,CPT,ffs,negotiated,professional
11422,302.040000,0002M,CPT,ffs,negotiated,professional
28339,302.040000,0002M,CPT,ffs,negotiated,professional
58350,211.430000,0002M,CPT,ffs,negotiated,professional
